SKU,Product,Manufacturer,Category,Width,Length,Thickness,Sell ex VAT,Sell inc VAT,Colour,Slug,Image URL
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Cornish Oak,signature-standard-cornish-oak,product-images/vinyl/amtico/signature-standard/signature-standard-cornish-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Crema Marfil,signature-standard-crema-marfil,product-images/vinyl/amtico/signature-standard/signature-standard-crema-marfil.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Cumbrian Slate,signature-standard-cumbrian-slate,product-images/vinyl/amtico/signature-standard/signature-standard-cumbrian-slate.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Dark Walnut,signature-standard-dark-walnut,product-images/vinyl/amtico/signature-standard/signature-standard-dark-walnut.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Darley Oak,signature-standard-darley-oak,product-images/vinyl/amtico/signature-standard/signature-standard-darley-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Deptford Concrete,signature-standard-deptford-concrete,product-images/vinyl/amtico/signature-standard/signature-standard-deptford-concrete.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Diffusion Aloe,signature-standard-diffusion-aloe,product-images/vinyl/amtico/signature-standard/signature-standard-diffusion-aloe.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Diffusion Cashew,signature-standard-diffusion-cashew,product-images/vinyl/amtico/signature-standard/signature-standard-diffusion-cashew.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Diffusion Chambray,signature-standard-diffusion-chambray,product-images/vinyl/amtico/signature-standard/signature-standard-diffusion-chambray.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Diffusion Eve,signature-standard-diffusion-eve,product-images/vinyl/amtico/signature-standard/signature-standard-diffusion-eve.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Diffusion Husk,signature-standard-diffusion-husk,product-images/vinyl/amtico/signature-standard/signature-standard-diffusion-husk.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Diffusion Loam,signature-standard-diffusion-loam,product-images/vinyl/amtico/signature-standard/signature-standard-diffusion-loam.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Diffusion Lux,signature-standard-diffusion-lux,product-images/vinyl/amtico/signature-standard/signature-standard-diffusion-lux.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Diffusion Malt,signature-standard-diffusion-malt,product-images/vinyl/amtico/signature-standard/signature-standard-diffusion-malt.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Dockland Oak,signature-standard-dockland-oak,product-images/vinyl/amtico/signature-standard/signature-standard-dockland-oak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Dry Teak,signature-standard-dry-teak,product-images/vinyl/amtico/signature-standard/signature-standard-dry-teak.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Dublin,signature-standard-dublin,product-images/vinyl/amtico/signature-standard/signature-standard-dublin.jpg
RE51865AMT,Signature Standard,Amtico,Vinyl,Various,Various,2.5,63.324999999999996,75.99,Encaustic Jasper,signature-standard-encaustic-jasper,product-images/vinyl/amtico/signature-standard/signature-standard-encaustic-jasper.jpg
